path,label,bpm,mfccs,rms,zcr,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mel_spectogram,amplitude
/content/drive/MyDrive/thesis/audio/A179.mp3,3,114.84375,130.41111755371094,0.2926693856716156,0.37744140625,1.0,7911.234172230345,4800.516947561225,11993.994140625,64.7058414868452,1559.9259033203125,46.347103118896484
/content/drive/MyDrive/thesis/audio/A186.mp3,3,129.19921875,163.5110321044922,0.19384530186653137,0.30126953125,1.0,7178.286358563542,5236.6822992955385,12187.79296875,66.70779370735572,449.7996520996094,41.626468658447266
/content/drive/MyDrive/thesis/audio/A190.mp3,3,112.34714673913044,159.7433624267578,0.3003685474395752,0.3125,1.0,7588.213939262446,5470.315340497262,13199.853515625,64.3386437971137,1357.8719482421875,46.52248764038086
/content/drive/MyDrive/thesis/audio/A192.mp3,3,126.04801829268293,161.94430541992188,0.21155966818332672,0.30322265625,1.0,6827.411164567601,4287.530925361126,11347.998046875,65.7938869739202,463.4072265625,41.23109817504883
/content/drive/MyDrive/thesis/audio/A198.mp3,3,123.046875,210.24583435058594,0.1139722391963005,0.1455078125,1.0,4309.259382553108,4464.8565314710095,8871.6796875,63.027028361335276,144.3840789794922,36.35492706298828
/content/drive/MyDrive/thesis/audio/A117.mp3,2,114.84375,185.19686889648438,0.3097139894962311,0.21337890625,1.0,4851.798645318506,3154.307412592758,7472.021484375,79.26544996289155,1188.62841796875,45.31173324584961
/content/drive/MyDrive/thesis/audio/A126.mp3,2,117.45383522727273,164.8853302001953,0.06374069303274155,0.3369140625,1.0,6646.059653249094,3571.924562683682,9862.20703125,78.15480441871561,62.66272735595703,32.618011474609375
/content/drive/MyDrive/thesis/audio/A130.mp3,2,143.5546875,162.41845703125,0.2462056428194046,0.2744140625,1.0,6921.466096958729,4728.643876615728,11649.462890625,63.675791291414086,769.7101440429688,42.85085678100586
/content/drive/MyDrive/thesis/audio/A143.mp3,2,109.95678191489361,183.26214599609375,0.22922618687152863,0.19873046875,1.0,4538.808339466952,3101.1943621514533,7428.955078125,75.90609573720246,699.2236938476562,43.607460021972656
/content/drive/MyDrive/thesis/audio/A157.mp3,2,132.51201923076923,177.1488494873047,0.1662932187318802,0.31298828125,1.0,6401.209136676591,4308.072788157854,10228.271484375,81.23464512574793,365.2716979980469,40.56793212890625
